ID,CorrectedLongitude,CorrectedLatitude
629,11.535856,48.1395779
630,11.5365008,48.139857
631,11.537996644,48.1399358133
632,11.5399904829,48.1397983219
633,11.5412682,48.1397601
634,11.5423492729,48.1396098101
635,11.5445812434,48.1395079481
636,11.5464780464,48.1393977803
637,11.5482755447,48.1391664398
638,11.5496006101,48.1383278195
639,11.5496773113,48.1378994458
640,11.5496267683,48.1373536239
641,11.5491152396,48.1364701203
642,11.5493993795,48.1362294109
643,11.5501818072,48.1360008121
644,11.5519747551,48.1352142266
645,11.5529953199,48.1342599156
646,11.5536169997,48.1329841204
647,11.5536085251,48.1316746328
648,11.5533181996,48.1302332403
649,11.5522942448,48.1289641496
650,11.551874261,48.1285364231
651,11.5513394508,48.1278601727
652,11.5514647429,48.127487788
653,11.5523531799,48.1266320476
654,11.552534292,48.1267168909
655,11.552534292,48.1267168909
656,11.5535103825,48.1259820362
657,11.5549493661,48.1249962144
658,11.5556771942,48.1244624119
659,11.5557137116,48.1245897593
660,11.5554333727,48.1239983149
661,11.5547981324,48.1233347864
662,11.554865021,48.1234145502
663,11.5546427,48.1231658
664,11.554721217,48.12327088
665,11.5547307256,48.12311835
666,11.554721217,48.12327088
667,11.5547650683,48.1234512515
668,11.5547981324,48.1233347864
669,11.5547981324,48.1233347864
670,11.554721217,48.12327088
671,11.554721217,48.12327088
672,11.554721217,48.12327088
673,11.5547981324,48.1233347864
674,11.554721217,48.12327088
675,11.554721217,48.12327088
676,11.5547981324,48.1233347864
677,11.5549568982,48.1235377651
678,11.5549568982,48.1235377651
679,11.5549519466,48.123462619
680,11.5547981324,48.1233347864
681,11.5547981324,48.1233347864
682,11.5547981324,48.1233347864
683,11.5545826772,48.1232347231
684,11.5547981324,48.1233347864
685,11.554865021,48.1234145502
686,11.5549536071,48.1233681563
687,11.5549536071,48.1233681563
688,11.5549536071,48.1233681563
689,11.5550421081,48.1233215993
690,11.5550421081,48.1233215993
691,11.554865021,48.1234145502
692,11.5547981324,48.1233347864
693,11.5547650683,48.1234512515
694,11.5556058348,48.1242431094
695,11.5556058348,48.1242431094
696,11.5566670153,48.1240706212
697,11.5582553634,48.1232237799
698,11.5590439701,48.1227900895
699,11.5594346433,48.1227144438
700,11.5606189701,48.1237310491
701,11.5607652419,48.1238674476
702,11.5609787966,48.1239677815
703,11.5617587175,48.1248781724
704,11.562380778,48.1257718371
705,11.5632564241,48.1268175934
706,11.564185319,48.1280557616
707,11.564185319,48.1280557616
708,11.5652228261,48.1293868
709,11.5661288,48.1306566
710,11.5666428036,48.1318426332
711,11.5672833361,48.1329814038
712,11.568785424,48.1328392206
713,11.5685171657,48.1335745614
714,11.5701251981,48.1341552247
715,11.5716326197,48.1350459038
716,11.5733166655,48.1357029225
717,11.5732244227,48.1363621887
718,11.5732244227,48.1363621887
719,11.5730267467,48.1366134572
720,11.5730267467,48.1366134572
721,11.5731054595,48.1365520014
722,11.5730267467,48.1366134572
723,11.5729491118,48.1366764875
724,11.5728714769,48.1367395178
725,11.5728714769,48.1367395178
726,11.5729491118,48.1366764875
727,11.5729491118,48.1366764875
728,11.5729491118,48.1366764875
729,11.5730267467,48.1366134572
730,11.5730267467,48.1366134572
731,11.5729491118,48.1366764875
732,11.5728714769,48.1367395178
733,11.5728714769,48.1367395178
734,11.5728714769,48.1367395178
735,11.5725543017,48.1369830434
736,11.5731054595,48.1365520014
737,11.5730469891,48.1355715049
738,11.5715424363,48.1350026955
739,11.5697574832,48.1339991448
740,11.5697574832,48.1339991448
741,11.5682788345,48.1341804271
742,11.5672110025,48.1352678511
743,11.5664084578,48.1360445696
744,11.5666749321,48.1363027638
745,11.5666061368,48.1372536865
746,11.5660476515,48.1378664903
747,11.5656306,48.138758
748,11.5664296,48.1398058
749,11.5682300799,48.1400182692
750,11.5690809265,48.1400275183
751,11.5691435,48.140017
752,11.5690809265,48.1400275183
753,11.5691435,48.140017
754,11.5692253625,48.1401017236
755,11.5692253625,48.1401017236
756,11.5692253625,48.1401017236
757,11.5690809265,48.1400275183
758,11.5707509519,48.1397100207
759,11.5709470097,48.1396705071
760,11.5724811777,48.1394259667
761,11.5737380836,48.139903351
762,11.5720215468,48.1405022615
763,11.5700020395,48.14083906
764,11.5701008162,48.1408234667
765,11.5688242323,48.1412014835
766,11.5677655521,48.1406520181
767,11.5671769303,48.140674925
768,11.5651842222,48.1408788016
769,11.563271679,48.1414637469
770,11.5617674105,48.1419778192
771,11.5617674105,48.1419778192
772,11.5603307295,48.1425834181
773,11.5585993005,48.1432100748
774,11.5575638221,48.143581069
775,11.5573374527,48.1435721943
776,11.5571397261,48.1437791145
777,11.5567113472,48.1436260789
778,11.5561737122,48.142308465
779,11.5562172081,48.14239851
780,11.5559017425,48.1419404143
781,11.5558338,48.1397135
782,11.5558023556,48.1393238864
783,11.5559446614,48.1386817077
784,11.5558955687,48.1372837969
